,RAW_DATA
0,Sensor initialized
1,58011.00
2,336687.00
3,615076.00
4,882839.00
5,882837.00
6,882850.00
7,882852.00
8,882847.00
9,882840.00
10,882863.00
11,882852.00
12,882872.00
13,882874.00
14,882867.00
15,882862.00
16,882849.00
17,882846.00
18,882845.00
19,882844.00
20,882842.00
21,882825.00
22,882830.00
23,883228.00
24,883241.00
25,883271.00
26,883295.00
27,883283.00
28,883302.00
29,883327.00
30,883308.00
31,883322.00
32,882963.00
33,882952.00
34,882952.00
35,882966.00
36,882956.00
37,882958.00
38,882965.00
39,882962.00
40,882969.00
41,883121.00
42,883092.00
43,883087.00
44,883079.00
45,883052.00
46,883045.00
47,883022.00
48,882992.00
49,882973.00
50,882570.00
51,882539.00
52,882563.00
53,882563.00
54,882570.00
55,882574.00
56,882552.00
57,882553.00
58,882551.00
59,882715.00
60,882714.00
61,882729.00
62,882739.00
63,882745.00
64,882754.00
65,882764.00
66,882779.00
67,882783.00
68,882851.00
69,882795.00
70,882865.00
71,882864.00
72,882866.00
73,882865.00
74,882847.00
75,882857.00
76,882860.00
77,883084.00
78,882865.00
79,883077.00
80,883062.00
81,883051.00
82,883055.00
83,883028.00
84,883041.00
85,883033.00
86,883153.00
87,883140.00
88,883152.00
89,883166.00
90,883149.00
91,883171.00
92,883146.00
93,883166.00
94,883193.00
95,882780.00
96,882753.00
97,882736.00
98,882701.00
99,882676.00
100,882659.00
101,882627.00
102,882610.00
103,882598.00
104,882461.00
105,882450.00
106,882454.00
107,882462.00
108,882462.00
109,882469.00
110,882471.00
111,882466.00
112,882475.00
113,882504.00
114,882506.00
115,882485.00
116,882504.00
117,882502.00
118,882497.00
119,882511.00
120,882496.00
121,882495.00
122,882464.00
123,882482.00
124,882470.00
125,882461.00
126,882465.00
127,882458.00
128,882453.00
129,882454.00
130,882448.00
131,882443.00
132,882446.00
133,882457.00
134,882458.00
135,882470.00
136,882476.00
137,882474.00
138,882459.00
139,882473.00
140,882512.00
141,882521.00
142,882531.00
143,882530.00
144,882537.00
145,882546.00
146,882546.00
147,882553.00
148,882565.00
149,882510.00
150,882507.00
151,882509.00
152,882499.00
153,882501.00
154,882496.00
155,882478.00
156,882499.00
157,882507.00
158,883428.00
159,883422.00
160,883440.00
161,883408.00
162,883390.00
163,883385.00
164,883350.00
165,883352.00
166,883355.00
167,882965.00
168,882954.00
169,882949.00
170,882923.00
171,882907.00
172,882896.00
173,882858.00
174,882856.00
175,882846.00
176,882561.00
177,882562.00
178,882589.00
179,882583.00
180,882574.00
181,882587.00
182,882583.00
183,882592.00
184,882596.00
185,882576.00
186,882581.00
187,882591.00
188,882579.00
189,882584.00
190,882578.00
191,882614.00
192,882585.00
193,882577.00
194,882636.00
195,882627.00
196,882618.00
197,882629.00
198,882639.00
199,882639.00
200,882645.00
201,882643.00
202,882659.00
203,882511.00
204,882500.00
205,882477.00
206,882481.00
207,882473.00
208,882472.00
209,882460.00
210,882472.00
211,882473.00
212,882674.00
213,882683.00
214,882653.00
215,882685.00
216,882661.00
217,882678.00
218,882662.00
219,882653.00
220,882666.00
221,882670.00
222,882658.00
223,882657.00
224,882656.00
225,882654.00
226,882666.00
227,882656.00
228,882659.00
229,882657.00
230,882629.00
231,882609.00
232,882601.00
233,882613.00
234,882607.00
235,882606.00
236,882609.00
237,882607.00
238,882598.00
239,882643.00
240,882638.00
241,882638.00
242,882642.00
243,882645.00
244,882652.00
245,882661.00
246,882649.00
247,882658.00
248,882663.00
249,882671.00
250,882690.00
251,882678.00
252,882677.00
253,882690.00
254,882677.00
