,RAW_DATA
0,Sensor initialized
1,124
2,130
3,135
4,128
5,122
6,118
7,114
8,111
9,109
10,109
11,112
12,115
13,119
14,120
15,118
16,117
17,115
18,118
19,121
20,119
21,120
22,121
23,119
24,117
25,117
26,116
27,114
28,113
29,112
30,113
31,114
32,113
33,112
34,111
35,112
36,113
37,112
38,112
39,111
40,110
41,109
42,109
43,108
44,107
45,107
46,105
47,105
48,103
49,103
50,101
51,100
52,98
53,98
54,99
55,100
56,102
57,103
58,104
59,104
60,106
61,105
62,104
63,103
64,104
65,105
66,105
67,105
68,103
69,101
70,100
71,100
72,101
73,101
74,103
75,104
76,104
77,105
78,107
79,109
80,109
81,108
82,108
83,109
84,111
85,109
86,107
87,107
88,108
89,109
90,110
91,111
92,113
93,114
94,116
95,117
96,117
97,118
98,118
99,118
100,118
101,119
102,119
103,117
104,116
105,115
106,113
107,112
108,111
109,111
110,109
111,107
112,107
113,106
114,104
115,105
116,106
117,106
118,108
119,110
120,110
121,109
122,108
123,109
124,108
125,106
126,106
127,106
128,103
129,101
130,99
131,101
132,103
133,101
134,100
135,100
136,100
137,99
138,98
139,96
140,95
141,94
142,92
143,91
144,89
145,88
146,88
147,87
148,87
149,87
150,87
151,87
152,87
153,87
154,89
155,88
156,90
157,90
158,90
159,90
160,91
161,92
162,94
