,RAW_DATA,Time
1,58308.00,1666715992.9826462
2,336520.00,1666715992.9939015
3,615057.00,1666715993.0049303
4,888026.00,1666715993.0169282
5,1149903.00,1666715993.0296168
6,1149909.00,1666715993.0420594
7,1149891.00,1666715993.054525
8,1149910.00,1666715993.067006
9,1149901.00,1666715993.0795846
10,1149912.00,1666715993.0920238
11,1149909.00,1666715993.1045122
12,1149919.00,1666715993.11686
13,1149924.00,1666715993.1289582
14,1149921.00,1666715993.1419723
15,1149947.00,1666715993.1542754
16,1149946.00,1666715993.1670125
17,1149943.00,1666715993.1795447
18,1149944.00,1666715993.1913555
19,1149938.00,1666715993.2044532
20,1149945.00,1666715993.216971
21,1148137.00,1666715993.2294528
22,1148034.00,1666715993.2412374
23,1147948.00,1666715993.2542949
24,1147882.00,1666715993.266221
25,1147821.00,1666715993.279559
26,1147766.00,1666715993.2920487
27,1147716.00,1666715993.304616
28,1147661.00,1666715993.3162005
29,1146970.00,1666715993.3294933
30,1146963.00,1666715993.3420358
31,1146971.00,1666715993.3545492
32,1146984.00,1666715993.3669307
33,1146992.00,1666715993.379424
34,1146994.00,1666715993.3916166
35,1147014.00,1666715993.404513
36,1147013.00,1666715993.4170732
37,1147003.00,1666715993.429518
38,1147016.00,1666715993.4420457
39,1147036.00,1666715993.4545667
40,1147048.00,1666715993.466578
41,1147044.00,1666715993.479526
42,1147044.00,1666715993.492086
43,1147078.00,1666715993.5037777
44,1147089.00,1666715993.5165362
45,1147556.00,1666715993.5295506
46,1147547.00,1666715993.5420392
47,1147573.00,1666715993.5545797
48,1147583.00,1666715993.566276
49,1147591.00,1666715993.5794017
50,1147590.00,1666715993.5914338
51,1147602.00,1666715993.6044278
52,1147618.00,1666715993.6163876
53,1147620.00,1666715993.6295373
54,1147919.00,1666715993.6419811
55,1147945.00,1666715993.6537232
56,1147960.00,1666715993.6666882
57,1147995.00,1666715993.6795235
58,1148004.00,1666715993.691617
59,1148038.00,1666715993.7045453
60,1148064.00,1666715993.7165515
61,1148073.00,1666715993.7295518
62,1148842.00,1666715993.7419887
63,1148857.00,1666715993.754547
64,1148883.00,1666715993.7666914
